X,river,site,year_from,year_to,year1_channel_area_m2,year2_channel_area_m2,deposition_area,erosion_area,net_change,year1_channel_length_m,year2_channel_length_m,year1_sdi,year2_sdi,sdi_change,year1_complexity,year2_complexity,complexity_change,year1_sinuosity,year2_sinuosity,sinuosity_change,year1_accum_area,year2_accum_area,year1_piece_count,year2_piece_count,year1_piece_channel_ratio,year1_piece_outside_ratio,year1_piece_inside_ratio,year1_piece_middle_ratio,year1_piece_island_ratio,year1_piece_spanning_ratio,year2_piece_channel_ratio,year2_piece_outside_ratio,year2_piece_inside_ratio,year2_piece_middle_ratio,year2_piece_island_ratio,year1_accum_area_ratio,year1_accum_outside_ratio,year1_accum_inside_ratio,year1_accum_middle_ratio,year1_accum_island_ratio,year1_accum_spanning_ratio,year2_accum_area_ratio,year2_accum_outside_ratio,year2_accum_inside_ratio,year2_accum_middle_ratio,year2_accum_island_ratio,river_site
1,Indian,LW_Channel,2004,2005,22661.22689,22634.03489,2454.910274,2427.71819,27.1920843,889.8103011,868.5025565,3.370818534,3.339686186,-0.031132348,2.021550457,2.05078665,0.029236193,1.710538528,1.678082895,-0.032455633,330.1224199,362.523608,2,1,8.83E-05,0,8.83E-05,0,0,0,4.42E-05,0,4.41E-05,0,0,0.014567721,4.41E-05,0,0,0,4.41E-05,0.016016747,0,4.41E-05,0,0,Indian
2,Indian,LW_Channel,2005,2006,22634.03489,23201.8848,2433.630088,3001.48016,-567.850072,868.5025565,876.4377978,3.339686186,3.37324627,0.033560084,2.05078665,2.078229546,0.027442897,1.678082895,1.683420662,0.005337767,362.523608,621.9580204,1,1,4.42E-05,0,4.42E-05,0,0,0,4.31E-05,0,4.42E-05,0,0,0.016016747,0,4.42E-05,0,0,4.42E-05,0.026806358,0,4.42E-05,0,4.42E-05,Indian
3,Indian,LW_Channel,2006,2007,23201.8848,26820.18228,815.3872592,4433.684733,-3618.297474,876.4377978,868.013046,3.37324627,3.153234601,-0.220011669,2.078229546,2.108947777,0.03071823,1.683420662,1.659503075,-0.023917587,621.9580204,565.4839878,1,1,4.31E-05,0,4.31E-05,0,0,0,3.73E-05,0,4.31E-05,0,0,0.026806358,0,4.31E-05,0,4.31E-05,0,0.021084271,0,0,0,4.31E-05,Indian
4,Indian,LW_Channel,2007,2008,26820.18228,29702.60709,1531.44203,4413.866721,-2882.42469,868.013046,888.8061012,3.153234601,3.009673072,-0.143561529,2.108947777,2.06878097,-0.040166807,1.659503075,1.719002159,0.059499084,565.4839878,404.891545,1,3,3.73E-05,0,3.73E-05,0,0,0,0.000101001,0,0.000111856,0,0,0.021084271,0,0,0,3.73E-05,3.73E-05,0.013631515,0,0,0,0,Indian
5,Indian,LW_Channel,2008,2009,29702.60709,28512.38418,3418.212163,2227.989391,1190.222772,888.8061012,887.7231726,3.009673072,3.067342106,0.057669034,2.06878097,2.068265838,-0.000515132,1.719002159,1.689286106,-0.029716053,404.891545,160.8414751,3,0,0.000101001,0,0.000101001,0,0,0,0,0,0,0,0,0.013631515,0,0,0,0,3.37E-05,0.005641109,0,3.37E-05,0,0,Indian
6,Indian,LW_Channel,2009,2010,28512.38418,32713.54181,2495.235901,6696.393765,-4201.157864,887.7231726,954.2054417,3.067342106,2.948256854,-0.119085251,2.068265838,1.981034976,-0.087230862,1.689286106,1.826536086,0.137249979,160.8414751,572.8380872,0,5,0,0,0,0,0,0,0.000152842,7.01E-05,0,0.000105217,0,0.005641109,0,3.51E-05,0,0,0,0.017510733,0.000105217,0,0,0,Indian
7,Indian,LW_Channel,2010,2011,32713.54181,30311.45953,3559.877491,1157.794967,2402.082524,954.2054417,979.5947722,2.948256854,3.082200726,0.133943872,1.981034976,1.94188191,-0.039153066,1.826536086,1.868862358,0.042326273,572.8380872,610.1654385,5,7,0.000152842,6.11E-05,0,9.17E-05,0,0,0.000230936,6.11E-05,9.17E-05,6.11E-05,0,0.017510733,9.17E-05,0,0,0,0,0.02012986,6.11E-05,0,0,0,Indian
8,Indian,LW_Channel,2011,2013,30311.45953,31459.54605,2124.171616,3272.258163,-1148.086547,979.5947722,950.5105875,3.082200726,2.986801227,-0.0953995,1.94188191,1.97574331,0.0338614,1.868862358,1.829463613,-0.039398745,610.1654385,1110.996357,7,3,0.000230936,6.60E-05,9.90E-05,6.60E-05,0,0,9.54E-05,3.30E-05,3.30E-05,3.30E-05,0,0.02012986,6.60E-05,0,0,0,0,0.035315079,9.90E-05,0,0,0,Indian
9,Indian,LW_Channel,2013,2014,31459.54605,30529.00318,3125.829148,2195.286244,930.542904,950.5105875,950.9427954,2.986801227,2.990851598,0.004050372,1.97574331,1.948057251,-0.027686059,1.829463613,1.830295491,0.000831878,1110.996357,1013.65271,3,4,9.54E-05,3.18E-05,3.18E-05,3.18E-05,0,0,0.000131023,3.18E-05,3.18E-05,6.36E-05,0,0.035315079,9.54E-05,0,0,0,0,0.033202942,6.36E-05,0,0,0,Indian
10,Indian,LW_Channel,2014,2015,30529.00318,31121.03554,2672.146874,3264.179038,-592.0321633,950.9427954,969.0534533,2.990851598,3.010612604,0.019761005,1.948057251,1.942849204,-0.005208047,1.830295491,1.855261327,0.024965836,1013.65271,1000.180956,4,2,0.000131023,3.28E-05,3.28E-05,6.55E-05,0,0,6.43E-05,6.55E-05,0,0,0,0.033202942,6.55E-05,0,0,0,3.28E-05,0.032138421,6.55E-05,0,0,0,Indian
11,Indian,LW_Channel,2015,2017,31121.03554,29859.29344,3748.420205,2486.678139,1261.742065,969.0534533,962.6148581,3.010612604,3.005914559,-0.004698045,1.942849204,1.912796491,-0.030052712,1.855261327,1.859252876,0.003991549,1000.180956,1543.486904,2,1,6.43E-05,6.43E-05,0,0,0,0,3.35E-05,3.21E-05,0,0,0,0.032138421,6.43E-05,0,0,0,3.21E-05,0.05169201,3.21E-05,3.21E-05,3.21E-05,0,Indian
12,Indian,LW_Channel,2017,2019,29859.29344,34045.50974,1221.394174,5407.610649,-4186.216475,962.6148581,886.7633615,3.005914559,2.823491768,-0.182422791,1.912796491,2.082637276,0.169840785,1.859252876,1.711764017,-0.14748886,1543.486904,385.851766,1,4,3.35E-05,3.35E-05,0,0,0,0,0.00011749,6.70E-05,0,6.70E-05,0,0.05169201,3.35E-05,3.35E-05,3.35E-05,0,3.35E-05,0.011333411,6.70E-05,0,0,0,Indian
