river,site,year,sinuosity,complexity,sdi,channel_area,channel_length,wood_pieces,accum_area
Indian,LW_Channel,2004,1.710538528,2.021550457,3.370818534,22661.22689,889.8103011,2,330.1224199
Indian,LW_Channel,2005,1.678082895,2.05078665,3.339686186,22634.03489,868.5025565,1,362.523608
Indian,LW_Channel,2006,1.683420662,2.078229546,3.37324627,23201.8848,876.4377978,1,621.9580204
Indian,LW_Channel,2007,1.659503075,2.108947777,3.153234601,26820.18228,868.013046,1,565.4839878
Indian,LW_Channel,2008,1.719002159,2.06878097,3.009673072,29702.60709,888.8061012,3,404.891545
Indian,LW_Channel,2009,1.689286106,2.068265838,3.067342106,28512.38418,887.7231726,0,160.8414751
Indian,LW_Channel,2010,1.826536086,1.981034976,2.948256854,32713.54181,954.2054417,5,572.8380872
Indian,LW_Channel,2011,1.868862358,1.94188191,3.082200726,30311.45953,979.5947722,7,610.1654385
Indian,LW_Channel,2013,1.829463613,1.97574331,2.986801227,31459.54605,950.5105875,3,1110.996357
Indian,LW_Channel,2014,1.830295491,1.948057251,2.990851598,30529.00318,950.9427954,4,1013.65271
Indian,LW_Channel,2015,1.855261327,1.942849204,3.010612604,31121.03554,969.0534533,2,1000.180956
Indian,LW_Channel,2017,1.859252876,1.912796491,3.005914559,29859.29344,962.6148581,1,1543.486904
Indian,LW_Channel,2019,1.711764017,2.082637276,2.823491768,34045.50974,886.7633615,4,385.851766
Indian,LW_Channel,2021,1.298963553,2.083145983,2.696149115,21737.43029,676.4461594,6,65.0907278
Indian,LW_Channel,2023,1.293872223,2.10810996,2.719652543,21419.66417,669.316334,4,190.2487838
Indian,no_LW_Channel,2004,1.380376735,2.079125169,2.888607035,18052.58698,661.7325287,0,0
Indian,no_LW_Channel,2005,1.383116473,2.082195889,2.859297009,18634.50776,664.5100901,0,0
Indian,no_LW_Channel,2006,1.398522262,2.055761225,2.981957435,17122.44638,672.8474475,0,0
Indian,no_LW_Channel,2007,1.38399621,2.088527377,2.813013929,19421.10982,665.3860084,0,0
Indian,no_LW_Channel,2008,1.400115167,2.088313191,2.834043343,19732.89501,675.7891124,0,0
Indian,no_LW_Channel,2009,1.402060526,2.066804276,2.779797509,19983.25231,673.9874783,0,0
Indian,no_LW_Channel,2010,1.397197045,2.096607792,2.582995612,23731.68531,672.7840629,0,0
Indian,no_LW_Channel,2011,1.389465152,2.122840185,2.603994396,23943.04995,672.8486925,0,0
Indian,no_LW_Channel,2013,1.397572372,2.103824556,2.5541377,24840.12082,678.2918074,2,60.16392302
Indian,no_LW_Channel,2014,1.396388131,2.085569259,2.544254348,24559.25261,677.7170531,0,0
Indian,no_LW_Channel,2015,1.404501035,2.104501785,2.516156637,25724.00387,679.7709329,1,225.667889
Indian,no_LW_Channel,2017,1.427236564,2.067912833,2.603753733,23905.3015,690.112227,0,0
Indian,no_LW_Channel,2019,1.404332555,2.090346256,2.432921082,27204.69935,680.5134105,0,0
Indian,no_LW_Channel,2021,1.6753006,1.869178056,2.782191867,23854.38821,814.9397022,0,0
Indian,no_LW_Channel,2023,1.816325399,1.939564952,3.241303768,21715.01882,872.9722597,0,0
Nyack,LW_Channel,2005,4.063964388,1.97994678,7.038735712,81752.08678,3603.259146,18,4724.547027
Nyack,LW_Channel,2009,4.024146743,1.880994808,6.494127529,84988.96298,3567.955368,8,7305.664963
Nyack,LW_Channel,2011,3.754376705,1.904618551,6.301883491,80543.83755,3328.767407,8,8620.045471
Nyack,LW_Channel,2013,3.76194134,1.920901621,6.332707679,81458.56333,3335.474488,16,8217.521442
Nyack,LW_Channel,2016,4.068684746,1.867559915,6.59707427,82991.91121,3607.444387,16,7089.268474
Nyack,LW_Channel,2017,3.812316338,1.760372401,6.567279649,65327.6878,3380.1388,6,5499.019237
Nyack,LW_Channel,2021,3.863323427,1.945116815,6.857575469,75119.66874,3425.363547,13,6181.18037
Nyack,no_LW_Channel,2005,3.643269248,1.490033355,4.775950937,47392.18531,2473.558385,0,0
Nyack,no_LW_Channel,2009,4.103697375,1.626941635,5.357855192,56959.29272,2786.161099,0,0
Nyack,no_LW_Channel,2011,3.909716294,1.626394675,5.177126778,55337.13968,2654.459734,0,0
Nyack,no_LW_Channel,2013,3.888044882,1.563972673,4.928564168,55838.27089,2639.746163,5,366.1801582
Nyack,no_LW_Channel,2016,3.865482661,1.562041118,4.931603593,54988.00874,2624.427786,5,314.9464514
Nyack,no_LW_Channel,2017,3.807382794,1.575365601,4.718426516,59275.24288,2584.981508,0,0
Nyack,no_LW_Channel,2021,4.176074285,1.565577199,5.561384898,50718.73537,2835.943706,4,77.35873906
Rock_WA_1,LW_Channel,2006,1.825225053,2.156473807,4.251234129,26540.88028,1138.501035,0,318.0326135
Rock_WA_1,LW_Channel,2009,2.348818792,1.965461312,4.116018464,38522.82669,1457.057934,3,3687.494984
Rock_WA_1,LW_Channel,2011,2.556779831,1.885757451,4.386350147,37078.81614,1587.761717,4,4105.629802
Rock_WA_1,LW_Channel,2013,2.39540941,1.957449349,4.182310898,38665.27144,1489.331051,1,681.690206
Rock_WA_1,LW_Channel,2015,2.338110931,1.986881444,4.427962258,33922.55963,1455.060985,2,1382.982555
Rock_WA_1,LW_Channel,2017,2.388927654,2.047415785,4.908446683,30313.78853,1479.663875,3,1661.458171
Rock_WA_1,LW_Channel,2019,2.154541808,2.036266491,3.878910704,39245.66242,1337.752993,2,1529.272262
Rock_WA_1,LW_Channel,2023,2.972702587,1.707250946,4.714065136,35289.49137,1838.763391,5,4559.74636
